ID,TYPE,SEQ,SEGMENT,ISEQ,Longitude,Latitude,REAL_TIMESTAMP,ACCURACY,USER_ID,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
241612130,1,2659,363,1,12.0654745774286,55.6186313281181,2016-06-28 06:42:00,65,9361,6280642,6280642,6280640,6280630,6280600,6280600,238,660,32,,1,0,190,0,0,0.005263157894,0,1,0,0,0
237793733,1,2126,409,16,12.078834953774,55.6157971485805,2016-06-29 00:35:00,5,20629,6290035,6290034,6290035,6290030,6290000,6290000,323,633,9,,161,151,2198,1,0.068698817106,0.073248407643,0.068698817106,0,0,1,0
231337518,1,2924,373,2,12.0885554187807,55.613358942616,2016-07-02 08:22:00,53,6357,7020822,7020822,7020820,7020815,7020800,7020800,386,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
219841198,1,2389,343,1,12.0612652437887,55.6186376481814,2016-07-02 04:49:00,63,11605,7020449,7020448,7020445,7020445,7020400,7020400,211,659,33,,23,0,603,0,0,0.038142620232,0,0,1,0,0
241612466,1,4622,1124,2,12.0794578590378,55.6198900242679,2016-07-01 21:06:00,28,20789,7012106,7012106,7012105,7012100,7012100,7012000,325,678,18,,58,0,253,1,0,0.229249011857,0,0,0,1,0
237793738,1,2127,409,17,12.0787736496134,55.6158256592969,2016-06-29 00:36:00,5,20629,6290036,6290036,6290035,6290030,6290000,6290000,323,633,9,,161,151,2198,1,0.068698817106,0.073248407643,0.068698817106,0,0,1,0
219841210,1,2390,343,2,12.061247988948,55.6186200988585,2016-07-02 04:50:00,57,11605,7020450,7020450,7020450,7020445,7020400,7020400,211,659,33,,23,0,603,0,0,0.038142620232,0,0,1,0,0
231337545,1,2925,373,3,12.0885395660744,55.6133593421443,2016-07-02 08:23:00,47,6357,7020823,7020822,7020820,7020815,7020800,7020800,386,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
231337571,1,2926,373,4,12.0885395660744,55.6133593421443,2016-07-02 08:24:00,41,6357,7020824,7020824,7020820,7020815,7020800,7020800,386,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
237793743,1,2128,409,18,12.0787281992227,55.6158537717134,2016-06-29 00:37:00,5,20629,6290037,6290036,6290035,6290030,6290000,6290000,323,633,9,,161,151,2198,1,0.068698817106,0.073248407643,0.068698817106,0,0,1,0
219841227,1,2391,343,3,12.0612307341229,55.618602549533,2016-07-02 04:51:00,51,11605,7020451,7020450,7020450,7020445,7020400,7020400,211,659,33,,23,0,603,0,0,0.038142620232,0,0,1,0,0
231337609,1,2927,373,5,12.0885237133677,55.6133597416707,2016-07-02 08:25:00,35,6357,7020825,7020824,7020825,7020815,7020800,7020800,385,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
237793748,1,2129,409,19,12.0786661911909,55.6158733098459,2016-06-29 00:38:00,5,20629,6290038,6290038,6290035,6290030,6290000,6290000,322,633,9,,161,151,2198,1,0.068698817106,0.073248407643,0.068698817106,0,0,1,0
231337631,1,2928,373,6,12.0885078606606,55.613360141195,2016-07-02 08:26:00,29,6357,7020826,7020826,7020825,7020815,7020800,7020800,385,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
231337655,1,2929,373,7,12.088492007953,55.6133605407172,2016-07-02 08:27:00,23,6357,7020827,7020826,7020825,7020815,7020800,7020800,385,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
231337678,1,2930,373,8,12.088492007953,55.6133605407172,2016-07-02 08:28:00,17,6357,7020828,7020828,7020825,7020815,7020800,7020800,385,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
231337694,1,2931,373,9,12.0884761552451,55.6133609402374,2016-07-02 08:29:00,11,6357,7020829,7020828,7020825,7020815,7020800,7020800,385,608,10,,7,0,602,0,0,0.011627906976,0,1,0,0,0
