user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
188,78930,337726,0,89925,28,42671,27664,198292,51238,6838,0.266266145,0.126347986,0.587138686,0.020247183,3
189,32207,330424,3,108397,10,49287,23309,170634,8885,2106,0.328054258,0.149162894,0.51640922,0.006373629,3
190,38740,320289,0,78962,9,23305,24682,215490,14049,2532,0.246533599,0.072762411,0.672798629,0.00790536,3
191,29810,285577,10,37381,18,17448,16080,228786,13702,1962,0.130896396,0.061097357,0.801135946,0.006870301,3
192,5244,188059,0,4687,0,8024,5244,175348,0,0,0.024923029,0.042667461,0.93240951,0,3
193,17413,200697,9,112256,4,18877,15826,69137,1574,427,0.559330732,0.094057211,0.344484472,0.002127585,1
194,30911,336136,14,33497,93,16791,20222,283675,10582,2173,0.099653117,0.049952995,0.843929243,0.006464645,3
195,17092,240401,0,113909,36,32781,13013,92847,4043,864,0.473829144,0.136359666,0.386217195,0.003593995,1
196,2556,32617,0,5538,0,4176,2556,22903,0,0,0.16978876,0.128031395,0.702179845,0,3
197,0,7526,0,6328,0,1198,0,0,0,0,0.840818496,0.159181504,0,0,1
198,45879,629725,43,279223,343,95917,42822,254158,2671,427,0.443404661,0.152315693,0.403601572,0.000678074,1
199,9652,333905,6,146896,45,7076,4658,179125,4943,808,0.439933514,0.021191656,0.53645498,0.00241985,3
200,20598,369868,0,11945,0,15214,8141,340989,12457,1720,0.032295305,0.041133594,0.921920793,0.004650308,3
201,4963,388492,0,34721,5,62290,4958,291481,0,0,0.089373784,0.160337922,0.750288294,0,3
202,13453,289588,9,28774,39,4949,11583,255667,1822,198,0.099361852,0.017089797,0.882864621,0.00068373,3
203,19179,219364,2,53246,122,37501,18922,128600,133,17,0.24272898,0.170953301,0.586240222,7.74968E-05,3
204,2679,39685,0,10364,6,14198,2673,15123,0,0,0.261156608,0.357767418,0.381075973,0,3
205,35894,656399,86,356778,440,76723,35345,222893,23,5,0.543538305,0.1168847,0.339569378,7.61732E-06,1
206,12486,646977,12,20664,53,10319,12421,615994,0,0,0.031939312,0.015949562,0.952111126,0,3
207,26425,358843,19,158730,195,62334,22534,137195,3677,584,0.442338293,0.173708279,0.382325975,0.001627453,1
208,59431,476909,5,307500,34,35318,27710,129694,31682,4397,0.644777096,0.074056057,0.271947059,0.009219788,1
209,23659,347520,0,144511,53,68272,15259,133686,8347,1051,0.41583506,0.19645488,0.384685773,0.003024286,1
210,17070,314402,0,120378,341,81946,14907,111948,1822,130,0.382879244,0.260640836,0.356066437,0.000413483,1
